Player;Agencia ;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK;Agencia 
Miguel Pinto;Mundo Futuro Chile;cl CHI;GK;Coquimbo Unido;Primera Division Chile;39;1983;1;1;90;10;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Sánchez Carvajal;Unosports Limitada;cl CHI;GK;Coquimbo Unido;Primera Division Chile;35;1987;29;29;2.61;290;0;0;0;0;0;0;7;0;0;0;0;0;0;
Filipe Yanez;;cl CHI;DF;Coquimbo Unido;Primera Division Chile;18;2004;5;1;199;22;0;0;0;0;0;0;1;0;0;0;0;0;0;
Sebastián Cardozo;;uy URU;DF;Coquimbo Unido;Primera Division Chile;27;1995;11;11;977;109;0;0;0;0;0;0;2;1;0;0;0;0;0;
Franco Bechtholdt;;ar ARG;DF;Curico Unido;Primera Division Chile;29;1993;23;20;1.775;197;0;0;0;0;0;0;7;0;0;0;0;0;0;
Matías Cahais;;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;17;17;1.497;166;0;1;1;0;0;0;2;1;0;6;6;0;6;
Federico Castro;;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;21;14;1.342;149;5;2;7;1;4;5;5;0;34;13;47;7;20;
Tobías Figueroa;;ar ARG;FW,MF;Curico Unido;Primera Division Chile;30;1992;25;10;1.129;125;1;1;2;1;0;0;3;0;8;8;16;8;16;
Omar Merlo;;ar ARG;DF;Curico Unido;Primera Division Chile;35;1987;20;14;1.376;153;1;0;1;1;0;0;5;0;7;0;7;7;7;
Cristián Zavala;Mundo Futuro Chile;cl CHI;MF,FW;Curico Unido;Primera Division Chile;23;1999;26;20;1.801;200;1;8;9;1;0;0;8;0;5;40;45;5;45;
Jason Flores;;cl CHI;MF,FW;Curico Unido;Primera Division Chile;25;1997;24;13;1.152;128;3;0;3;3;0;0;1;0;23;0;23;23;23;
Nicolás Barrios;;cl CHI;FW,MF;Curico Unido;Primera Division Chile;19;2003;16;13;943;105;2;0;2;2;0;0;0;0;19;0;19;19;19;
Kennet Lara;;cl CHI;DF;Curico Unido;Primera Division Chile;23;1999;8;6;530;59;2;0;2;2;0;0;0;0;34;0;34;34;34;
Yerko Leiva;AIM Futbol ;cl CHI;MF;Curico Unido;Primera Division Chile;24;1998;27;25;1.989;221;2;0;2;2;0;1;2;1;9;0;9;9;9;
Cristopher Barrera;;cl CHI;DF;Curico Unido;Primera Division Chile;24;1998;5;4;395;44;0;1;1;0;0;0;0;0;0;23;23;0;23;
Augusto Barrios;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;31;1991;22;13;1.24;138;1;0;1;1;0;0;7;1;7;0;7;7;7;
Sebastian Cabrera;;cl CHI;DF;Curico Unido;Primera Division Chile;24;1998;12;11;987;110;1;0;1;1;0;0;4;0;9;0;9;9;9;
Joaquin Gonzalez;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;21;2001;12;7;590;66;0;1;1;0;0;0;1;1;0;15;15;0;15;
Ronald de la Fuente;;cl CHI;DF,MF;Curico Unido;Primera Division Chile;32;1991;19;19;1.665;185;0;1;1;0;0;0;5;0;0;5;5;0;5;
Felipe Ortiz;;cl CHI;MF;Curico Unido;Primera Division Chile;21;2001;14;9;785;87;0;1;1;0;0;0;2;0;0;11;11;0;11;
Mario Sandoval;;cl CHI;MF;Curico Unido;Primera Division Chile;31;1991;22;18;1.693;188;1;0;1;1;0;0;8;1;5;0;5;5;5;
Dilan Acevedo;;cl CHI;MF;Curico Unido;Primera Division Chile;19;2003;3;1;123;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ronnie Albornoz;;cl CHI;MF;Curico Unido;Primera Division Chile;0;0;2;1;64;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ian Aliaga;;cl CHI;FW;Curico Unido;Primera Division Chile;20;2002;4;4;207;23;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cristian Bustamante;Factor Futbol;cl CHI;MF,FW;Curico Unido;Primera Division Chile;20;2002;3;3;135;15;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fabián Cerda;;cl CHI;GK;Curico Unido;Primera Division Chile;33;1989;25;25;2.201;245;0;0;0;0;0;0;4;0;0;0;0;0;0;
Darko Fiamengo;AIM Futbol ;cl CHI;DF;Curico Unido;Primera Division Chile;19;2003;6;3;327;36;0;0;0;0;0;0;1;0;0;0;0;0;0;
Felipe Fritz;;cl CHI;FW,MF;Curico Unido;Primera Division Chile;25;1997;22;3;499;55;0;0;0;0;0;0;0;0;0;0;0;0;0;
Iván Garrido;;cl CHI;MF;Curico Unido;Primera Division Chile;19;2003;1;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jorge Henríquez Neira;;cl CHI;MF,FW;Curico Unido;Primera Division Chile;28;1994;2;2;180;20;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Munoz;;cl CHI;DF;Curico Unido;Primera Division Chile;20;2002;6;5;370;41;0;0;0;0;0;0;0;1;0;0;0;0;0;
Matías Ormazábal;Mauricio Méndez;cl CHI;MF;Curico Unido;Primera Division Chile;24;1998;3;1;61;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Benjamín Ortiz;;cl CHI;MF;Curico Unido;Primera Division Chile;23;1999;1;0;45;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
Matías Retamal;;cl CHI;FW;Curico Unido;Primera Division Chile;16;2006;2;0;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Luis Santelices;;cl CHI;GK;Curico Unido;Primera Division Chile;37;1985;6;5;499;55;0;0;0;0;0;0;1;0;0;0;0;0;0;
Diego Urzúa;Mauricio Méndez;cl CHI;MF;Curico Unido;Primera Division Chile;25;1997;9;2;242;27;0;0;0;0;0;0;1;0;0;0;0;0;0;
Sergio Vergara;;cl CHI;FW;Curico Unido;Primera Division Chile;28;1994;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Diego Coelho;;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;30;18;1.719;191;8;1;9;8;0;0;3;0;42;5;47;42;47;
Agustín Nadruz;;uy URU;MF,DF;Curico Unido;Primera Division Chile;26;1996;26;24;2.014;224;0;0;0;0;0;0;7;0;0;0;0;0;0;
Juan Ignacio Sills;;ar ARG;DF;Deportes Copiapó;Primera Division Chile;35;1987;25;21;1.95;217;0;0;0;0;0;0;10;0;0;0;0;0;0;
Juan Jaime;;ar ARG;MF;Deportes Copiapó;Primera Division Chile;30;1993;27;27;2.375;264;2;0;2;2;0;0;10;0;8;0;8;8;8;
Manuel López;;ar ARG;MF,FW;Deportes Copiapó;Primera Division Chile;27;1995;26;4;638;71;5;1;6;3;2;2;2;0;71;14;85;42;56;
Jorge Luna;;ar ARG;MF,FW;Deportes Copiapó;Primera Division Chile;36;1986;24;17;1.734;193;1;5;6;1;0;0;9;1;5;26;31;5;31;
Maximiliano Quinteros;;ar ARG;FW;Deportes Copiapó;Primera Division Chile;33;1989;30;24;2.087;232;8;1;9;8;0;1;3;0;34;4;39;34;39;
Isaac Díaz;Unosports Limitada;cl CHI;FW,MF;Deportes Copiapó;Primera Division Chile;32;1990;23;19;1.445;161;6;2;8;4;2;2;8;2;37;12;50;25;37;
John Valladares;;cl CHI;MF,FW;Deportes Copiapó;Primera Division Chile;20;2002;24;9;1.03;114;4;0;4;4;0;0;2;0;35;0;35;35;35;
Jens Buss;;cl CHI;DF,MF;Deportes Copiapó;Primera Division Chile;26;1997;8;8;661;73;0;3;3;0;0;0;1;0;0;41;41;0;41;
Felipe Reynero;Mundo Futuro Chile;cl CHI;MF;Deportes Copiapó;Primera Division Chile;33;1989;23;17;1.532;170;0;3;3;0;0;0;4;0;0;18;18;0;18;
Diego García Medina;;cl CHI;DF;Deportes Copiapó;Primera Division Chile;26;1996;27;25;2.24;249;1;1;2;1;0;0;8;1;4;4;8;4;8;
Agustín Ortiz;;cl CHI;DF;Deportes Copiapó;Primera Division Chile;24;1999;20;17;1.481;165;1;1;2;1;0;0;6;1;6;6;12;6;12;
Luis Cabrera;;cl CHI;MF;Deportes Copiapó;Primera Division Chile;29;1994;18;12;940;104;0;1;1;0;0;0;4;0;0;10;10;0;10;
Yerco Oyanedel;;cl CHI;MF;Deportes Copiapó;Primera Division Chile;22;2000;13;11;899;100;0;1;1;0;0;0;0;0;0;10;10;0;10;
