Jugadores,Nac.,Edad,Club,Liga,Contrato,Opción de contrato,Valor de mercado,Posición,Agencia
Ian Garguez,Chile,19,CD Palestino,,-,-,300 mil €,Lateral derecho,Vibra Fútbol
Alessandro Milesi,"Perú, Italia",24,Alianza Atlético Sullana,,-,-,300 mil €,Lateral izquierdo,Vibra Fútbol
Edwuin Pernía,Venezuela,29,Caracas FC,,2025,Un año más por parte del club,300 mil €,Delantero centro,Vibra Fútbol
Gary Moya,Chile,22,Rangers de Talca,,2024,-,300 mil €,Mediocentro,Vibra Fútbol
Gabriel Delgado,Perú,22,Universidad San Martín de Porres,,2024,-,250 mil €,Mediocentro,Vibra Fútbol
Eugenio Mena,Chile,36,CD Universidad Católica,,2024,-,250 mil €,Lateral izquierdo,Vibra Fútbol
Fabio Rojas,Perú,25,Club Atlético Grau,,-,-,250 mil €,Lateral derecho,Vibra Fútbol
Lucas Alarcón,Chile,24,Deportes La Serena,,2025,-,250 mil €,Defensa central,Vibra Fútbol
Brayan Garrido,Chile,25,Santiago Wanderers,,-,-,250 mil €,Mediocentro,Vibra Fútbol
Sebastián Gonzales,Perú,24,Comerciantes Unidos,,-,-,250 mil €,Delantero centro,Vibra Fútbol
Jason Flores,Chile,27,Deportes Antofagasta,,2024,-,250 mil €,Extremo izquierdo,Vibra Fútbol
Carlos Lobos,Chile,27,Deportes La Serena,,-,-,250 mil €,Mediocentro,Vibra Fútbol
Leandro Hernández,Chile,19,CSD Colo Colo U21,,-,-,225 mil €,Extremo izquierdo,Vibra Fútbol
Ítalo Regalado,Perú,29,Comerciantes Unidos,,-,-,225 mil €,Extremo derecho,Vibra Fútbol
Jherson Reyes,Perú,20,Club Atlético Grau,,-,-,225 mil €,Lateral derecho,Vibra Fútbol
Aldair Vásquez,Perú,21,Club Atlético Grau,,2024,-,200 mil €,Mediocentro ofensivo,Vibra Fútbol
Matías Pérez,Chile,19,CDP Curicó Unido,,2026,-,200 mil €,Defensa central,Vibra Fútbol
