Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Matías Sepúlveda;cl CHI;MF;Audax Italiano;Primera Division Chile;23;1999;27;21;1764;196;3;3;6;3;0;0;4;0;15;15;31;15;31
Matías Rodríguez;uy URU;GK;Deportes Magallanes;Primera Division Chile;28;1994;20;20;1764;196;0;0;0;0;0;0;1;0;0;0;0;0;0
Felipe Flores;cl CHI;FW;Deportes Magallanes;Primera Division Chile;36;1987;25;22;1763;196;4;2;6;4;0;0;4;2;20;10;31;20;31
Leandro Díaz;cl CHI;DF;La Calera;Primera Division Chile;23;1999;25;21;1748;194;0;2;2;0;0;0;8;2;0;10;10;0;10
José Tiznado;cl CHI;DF;Unión Española;Primera Division Chile;28;1994;21;20;1746;194;1;1;2;1;0;0;6;1;5;5;10;5;10
Diego Carrasco;cl CHI;DF;Coquimbo Unido;Primera Division Chile;27;1995;20;19;1741;193;1;0;1;1;0;0;4;0;5;0;5;5;5
Nicolás Thaller;ar ARG;DF;O'Higgins;Primera Division Chile;24;1998;23;20;1739;193;0;0;0;0;0;0;4;1;0;0;0;0;0
Branco Ampuero;cl CHI;DF;Univ Católica;Primera Division Chile;29;1993;23;21;1738;193;0;1;1;0;0;0;4;0;0;5;5;0;5
Jorge Luna;ar ARG;MF,FW;Deportes Copiapó;Primera Division Chile;36;1986;24;17;1734;193;1;5;6;1;0;0;9;1;5;26;31;5;31
Camilo Moya;cl CHI;MF;O'Higgins;Primera Division Chile;24;1998;25;20;1723;191;0;1;1;0;0;0;4;1;0;5;5;0;5
Diego Coelho;uy URU;FW;Curico Unido;Primera Division Chile;28;1995;30;18;1719;191;8;1;9;8;0;0;3;0;42;5;47;42;47
Eugenio Mena;cl CHI;DF,MF;Univ Católica;Primera Division Chile;34;1988;21;20;1707;190;1;2;3;1;0;0;5;0;5;11;16;5;16
Alfred Canales;cl CHI;MF;Deportes Magallanes;Primera Division Chile;22;2000;28;23;1698;189;3;0;3;3;0;0;4;0;16;0;16;16;16
Nery Domínguez;ar ARG;DF,MF;U de Chile;Primera Division Chile;32;1990;23;19;1697;189;0;0;0;0;0;0;6;1;0;0;0;0;0
Mario Sandoval;cl CHI;MF;Curico Unido;Primera Division Chile;31;1991;22;18;1693;188;1;0;1;1;0;0;8;1;5;0;5;5;5
Pedro Ojeda;ar ARG;MF;U de Chile;Primera Division Chile;25;1997;24;20;1691;188;0;2;2;0;0;0;8;0;0;11;11;0;11
Osvaldo Bosso;cl CHI;DF;Audax Italiano;Primera Division Chile;29;1993;20;20;1688;188;2;1;3;2;0;0;5;1;11;5;16;11;16
Diego González Torres;cl CHI;DF;O'Higgins;Primera Division Chile;24;1998;20;18;1675;186;2;0;2;2;0;0;6;0;11;0;11;11;11
